key	value
vragenreeks1totaalAantalScore11	3
vragenreeks1totaalAantalScore12	13
vragenreeks1totaalAantalScore13	9
vragenreeks1totaalAantalScore14	13
vragenreeks1totaalAantalScore15	17
vragenreeks1totaalAantalScore16	11
vragenreeks1totaalAantalScore17	9
vragenreeks1totaalAantalScore18	18
vragenreeks1totaalAantalScore19	7
vragenreeks1totaalAantalScore20	3
vragenreeks1zonder_basisHoogsteScore	20
vragenreeks1zonder_basisLaagsteScore	0
vragenreeks1zonder_basisGemiddeldeScore	12.16793893129771
vragenreeks1zonder_basisMediaanScore	13
vragenreeks1zonder_basisAantalScore0	4
vragenreeks1zonder_basisAantalScore1	2
vragenreeks1zonder_basisAantalScore2	1
vragenreeks1zonder_basisAantalScore3	2
vragenreeks1zonder_basisAantalScore4	2
vragenreeks1zonder_basisAantalScore5	3
vragenreeks1zonder_basisAantalScore6	6
vragenreeks1zonder_basisAantalScore7	4
vragenreeks1zonder_basisAantalScore8	4
vragenreeks1zonder_basisAantalScore9	3
vragenreeks1zonder_basisAantalScore10	13
vragenreeks1zonder_basisAantalScore11	12
vragenreeks1zonder_basisAantalScore12	6
vragenreeks1zonder_basisAantalScore13	7
vragenreeks1zonder_basisAantalScore14	15
vragenreeks1zonder_basisAantalScore15	13
vragenreeks1zonder_basisAantalScore16	5
vragenreeks1zonder_basisAantalScore17	7
vragenreeks1zonder_basisAantalScore18	12
vragenreeks1zonder_basisAantalScore19	7
vragenreeks1zonder_basisAantalScore20	3
vragenreeks1wiskunde_basisHoogsteScore	10
vragenreeks1wiskunde_basisLaagsteScore	0
vragenreeks1wiskunde_basisGemiddeldeScore	8.83969465648855
vragenreeks1wiskunde_basisMediaanScore	10
vragenreeks1wiskunde_basisAantalScore0	1
vragenreeks1wiskunde_basisAantalScore1	1
vragenreeks1wiskunde_basisAantalScore2	1
vragenreeks1wiskunde_basisAantalScore3	0
vragenreeks1wiskunde_basisAantalScore4	1
vragenreeks1wiskunde_basisAantalScore5	5
vragenreeks1wiskunde_basisAantalScore6	6
vragenreeks1wiskunde_basisAantalScore7	10
vragenreeks1wiskunde_basisAantalScore8	3
vragenreeks1wiskunde_basisAantalScore9	34
vragenreeks1wiskunde_basisAantalScore10	69
vragenreeks1wiskunde_standaardHoogsteScore	15
vragenreeks1wiskunde_standaardLaagsteScore	0
vragenreeks1wiskunde_standaardGemiddeldeScore	8.465648854961833
vragenreeks1wiskunde_standaardMediaanScore	9
vragenreeks1wiskunde_standaardAantalScore0	8
vragenreeks1wiskunde_standaardAantalScore1	0
vragenreeks1wiskunde_standaardAantalScore2	2
vragenreeks1wiskunde_standaardAantalScore3	4
vragenreeks1wiskunde_standaardAantalScore4	10
vragenreeks1wiskunde_standaardAantalScore5	8
vragenreeks1wiskunde_standaardAantalScore6	9
vragenreeks1wiskunde_standaardAantalScore7	13
vragenreeks1wiskunde_standaardAantalScore8	8
vragenreeks1wiskunde_standaardAantalScore9	11
vragenreeks1wiskunde_standaardAantalScore10	13
vragenreeks1wiskunde_standaardAantalScore11	11
vragenreeks1wiskunde_standaardAantalScore12	12
vragenreeks1wiskunde_standaardAantalScore13	3
vragenreeks1wiskunde_standaardAantalScore14	14
vragenreeks1wiskunde_standaardAantalScore15	5
vragenreeks1chemieHoogsteScore	10
vragenreeks1chemieLaagsteScore	0
vragenreeks1chemieGemiddeldeScore	6.755725190839694
vragenreeks1chemieMediaanScore	7
vragenreeks1chemieAantalScore0	4
vragenreeks1chemieAantalScore1	6
vragenreeks1chemieAantalScore2	5
vragenreeks1chemieAantalScore3	5
vragenreeks1chemieAantalScore4	2
vragenreeks1chemieAantalScore5	15
vragenreeks1chemieAantalScore6	19
vragenreeks1chemieAantalScore7	20
vragenreeks1chemieAantalScore8	5
vragenreeks1chemieAantalScore9	23
vragenreeks1chemieAantalScore10	27
