key	value
vragenreeks1totaalLaagsteScore	4
vragenreeks1totaalGemiddeldeScore	11.4
vragenreeks1totaalMediaanScore	12
vragenreeks1totaalAantalScore0	0
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	0
vragenreeks1totaalAantalScore3	0
vragenreeks1totaalAantalScore4	2
vragenreeks1totaalAantalScore5	0
vragenreeks1totaalAantalScore6	0
vragenreeks1totaalAantalScore7	0
vragenreeks1totaalAantalScore8	0
vragenreeks1totaalAantalScore9	3
vragenreeks1totaalAantalScore10	0
vragenreeks1totaalAantalScore11	1
vragenreeks1totaalAantalScore12	3
vragenreeks1totaalAantalScore13	0
vragenreeks1totaalAantalScore14	4
vragenreeks1totaalAantalScore15	1
vragenreeks1totaalAantalScore16	0
vragenreeks1totaalAantalScore17	0
vragenreeks1totaalAantalScore18	1
vragenreeks1totaalAantalScore19	0
vragenreeks1totaalAantalScore20	0
vragenreeks1zonder_basisHoogsteScore	18
vragenreeks1zonder_basisLaagsteScore	0
vragenreeks1zonder_basisGemiddeldeScore	9.8
vragenreeks1zonder_basisMediaanScore	10
vragenreeks1zonder_basisAantalScore0	1
vragenreeks1zonder_basisAantalScore1	0
vragenreeks1zonder_basisAantalScore2	0
vragenreeks1zonder_basisAantalScore3	0
vragenreeks1zonder_basisAantalScore4	1
vragenreeks1zonder_basisAantalScore5	1
vragenreeks1zonder_basisAantalScore6	1
vragenreeks1zonder_basisAantalScore7	0
vragenreeks1zonder_basisAantalScore8	0
vragenreeks1zonder_basisAantalScore9	3
vragenreeks1zonder_basisAantalScore10	1
vragenreeks1zonder_basisAantalScore11	0
vragenreeks1zonder_basisAantalScore12	2
vragenreeks1zonder_basisAantalScore13	3
vragenreeks1zonder_basisAantalScore14	1
vragenreeks1zonder_basisAantalScore15	0
vragenreeks1zonder_basisAantalScore16	0
vragenreeks1zonder_basisAantalScore17	0
vragenreeks1zonder_basisAantalScore18	1
vragenreeks1zonder_basisAantalScore19	0
vragenreeks1zonder_basisAantalScore20	0
vragenreeks1wiskunde_basisHoogsteScore	10
vragenreeks1wiskunde_basisLaagsteScore	0
vragenreeks1wiskunde_basisGemiddeldeScore	7.933333333333334
vragenreeks1wiskunde_basisMediaanScore	9
vragenreeks1wiskunde_basisAantalScore0	1
vragenreeks1wiskunde_basisAantalScore1	0
vragenreeks1wiskunde_basisAantalScore2	0
vragenreeks1wiskunde_basisAantalScore3	0
vragenreeks1wiskunde_basisAantalScore4	0
vragenreeks1wiskunde_basisAantalScore5	1
vragenreeks1wiskunde_basisAantalScore6	1
vragenreeks1wiskunde_basisAantalScore7	1
vragenreeks1wiskunde_basisAantalScore8	1
vragenreeks1wiskunde_basisAantalScore9	7
vragenreeks1wiskunde_basisAantalScore10	3
vragenreeks1wiskunde_standaardHoogsteScore	15
vragenreeks1wiskunde_standaardLaagsteScore	0
vragenreeks1wiskunde_standaardGemiddeldeScore	7.4
vragenreeks1wiskunde_standaardMediaanScore	8
vragenreeks1wiskunde_standaardAantalScore0	1
vragenreeks1wiskunde_standaardAantalScore1	1
vragenreeks1wiskunde_standaardAantalScore2	0
vragenreeks1wiskunde_standaardAantalScore3	0
vragenreeks1wiskunde_standaardAantalScore4	1
vragenreeks1wiskunde_standaardAantalScore5	1
vragenreeks1wiskunde_standaardAantalScore6	0
vragenreeks1wiskunde_standaardAantalScore7	3
vragenreeks1wiskunde_standaardAantalScore8	2
vragenreeks1wiskunde_standaardAantalScore9	4
vragenreeks1wiskunde_standaardAantalScore10	0
vragenreeks1wiskunde_standaardAantalScore11	0
vragenreeks1wiskunde_standaardAantalScore12	0
vragenreeks1wiskunde_standaardAantalScore13	1
vragenreeks1wiskunde_standaardAantalScore14	0
vragenreeks1wiskunde_standaardAantalScore15	1
vragenreeks1taalvaardigheidHoogsteScore	9
vragenreeks1taalvaardigheidLaagsteScore	1
vragenreeks1taalvaardigheidGemiddeldeScore	4.866666666666666
vragenreeks1taalvaardigheidMediaanScore	6
vragenreeks1taalvaardigheidAantalScore0	0
vragenreeks1taalvaardigheidAantalScore1	3
vragenreeks1taalvaardigheidAantalScore2	1
vragenreeks1taalvaardigheidAantalScore3	2
vragenreeks1taalvaardigheidAantalScore4	0
vragenreeks1taalvaardigheidAantalScore5	1
vragenreeks1taalvaardigheidAantalScore6	3
vragenreeks1taalvaardigheidAantalScore7	3
vragenreeks1taalvaardigheidAantalScore8	0
vragenreeks1taalvaardigheidAantalScore9	2
vragenreeks1taalvaardigheidAantalScore10	0
