feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore	ruimtelijkGroep
17ia86165	1	1	13	3	6	11	10-13	12	2	4	13	>=10	7	1	0	8	>=8	5	1	4	9	>=7	1	1	2	2	<=4
17ia86463	1	1	17	2	3	15	>=14	13	2	3	14	>=10	7	0	1	9	>=8	6	2	2	11	>=7	4	0	0	10	>=8
17ia22869	1	1	14	3	5	12	10-13	12	2	4	13	>=10	7	1	0	8	>=8	5	1	4	9	>=7	2	1	1	4	<=4
17ia11141	1	0	8	13	1	3	<10	7	10	1	4	<=6	4	4	0	3	<=4	3	6	1	2	<4	1	3	0	0	<=4
17ia58882	1	1	14	2	6	12	10-13	10	2	6	10	>=10	5	2	1	5	5-7	5	0	5	10	>=7	4	0	0	10	>=8
17ia92265	1	0	4	7	11	2	<10	3	5	10	1	<=6	1	3	4	0	<=4	2	2	6	3	<4	1	2	1	1	<=4
17ia37707	1	0	14	5	3	11	10-13	10	5	3	9	7-9	5	3	0	5	5-7	5	2	3	9	>=7	4	0	0	10	>=8
17ia42502	1	0	10	3	9	8	<10	7	2	9	7	7-9	3	2	3	3	<=4	4	0	6	8	>=7	3	1	0	7	5-7
17ia74997	1	0	14	6	2	11	10-13	10	6	2	9	7-9	5	3	0	5	5-7	5	3	2	8	>=7	4	0	0	10	>=8
17ia60665	1	0	11	5	6	8	<10	9	3	6	9	7-9	4	2	2	4	<=4	5	1	4	9	>=7	2	2	0	3	<=4
17ia97783	1	0	7	9	6	4	<10	4	8	6	1	<=6	3	4	1	2	<=4	1	4	5	0	<4	3	1	0	7	5-7
17ia66155	1	0	11	5	6	8	<10	8	4	6	7	7-9	5	3	0	5	5-7	3	1	6	5	4-6	3	1	0	7	5-7
17ia68391	1	0	12	5	5	9	<10	8	5	5	7	7-9	4	3	1	4	<=4	4	2	4	7	>=7	4	0	0	10	>=8
17ia90414	1	0	5	7	10	2	<10	3	6	9	1	<=6	2	3	3	1	<=4	1	3	6	0	<4	2	1	1	4	<=4
17ia46785	1	1	15	2	5	13	10-13	11	2	5	11	>=10	7	1	0	8	>=8	4	1	5	7	>=7	4	0	0	10	>=8
17ia46415	1	0	13	4	5	11	10-13	9	4	5	9	7-9	8	0	0	10	>=8	1	4	5	0	<4	4	0	0	10	>=8
17ia76138	1	1	14	2	6	12	10-13	10	2	6	10	>=10	5	2	1	5	5-7	5	0	5	10	>=7	4	0	0	10	>=8
17ia49735	1	0	13	5	4	10	10-13	9	5	4	8	7-9	6	2	0	7	5-7	3	3	4	4	4-6	4	0	0	10	>=8
17ia18169	1	1	15	4	3	12	10-13	11	4	3	11	>=10	7	1	0	8	>=8	4	3	3	6	4-6	4	0	0	10	>=8
17ia39494	1	1	12	3	7	10	10-13	11	2	5	11	>=10	8	0	0	10	>=8	3	2	5	5	4-6	1	1	2	2	<=4
17ia75758	1	0	10	5	7	8	<10	7	4	7	6	<=6	3	2	3	3	<=4	4	2	4	7	>=7	3	1	0	7	5-7
17ia67436	1	0	11	6	5	8	<10	8	6	4	7	7-9	5	3	0	5	5-7	3	3	4	4	4-6	3	0	1	8	>=8
17ia67905	1	0	8	14	0	3	<10	5	13	0	1	<=6	3	5	0	2	<=4	2	8	0	0	<4	3	1	0	7	5-7
17ia11364	1	0	11	5	6	8	<10	7	5	6	6	<=6	3	4	1	2	<=4	4	1	5	7	>=7	4	0	0	10	>=8
17ia42094	1	0	10	2	10	8	<10	8	2	8	8	7-9	3	1	4	3	<=4	5	1	4	9	>=7	2	0	2	5	5-7
17ia98668	1	0	8	10	4	4	<10	6	8	4	4	<=6	4	3	1	4	<=4	2	5	3	1	<4	2	2	0	3	<=4
17ia90845	1	0	12	5	5	9	<10	10	3	5	10	>=10	5	3	0	5	5-7	5	0	5	10	>=7	2	2	0	3	<=4
17ia31130	1	1	17	2	3	15	>=14	13	2	3	14	>=10	7	1	0	8	>=8	6	1	3	11	>=7	4	0	0	10	>=8
17ia41353	1	0	13	9	0	9	<10	11	7	0	10	>=10	6	2	0	7	5-7	5	5	0	7	>=7	2	2	0	3	<=4
17ia11946	1	0	5	8	9	2	<10	3	7	8	1	<=6	3	3	2	3	<=4	0	4	6	0	<4	2	1	1	4	<=4
17ia60472	1	0	8	7	7	5	<10	5	7	6	3	<=6	5	2	1	5	5-7	0	5	5	0	<4	3	0	1	8	>=8
17ia35175	1	0	8	7	7	5	<10	5	6	7	3	<=6	3	2	3	3	<=4	2	4	4	1	<4	3	1	0	7	5-7
17ia20512	1	1	18	1	3	16	>=14	14	1	3	15	>=10	7	1	0	8	>=8	7	0	3	14	>=7	4	0	0	10	>=8
17ia15644	1	0	10	8	4	7	<10	6	8	4	4	<=6	4	3	1	4	<=4	2	5	3	1	<4	4	0	0	10	>=8
17ia47821	1	1	18	1	3	16	>=14	15	1	2	16	>=10	8	0	0	10	>=8	7	1	2	13	>=7	3	0	1	8	>=8
17ia80451	1	1	15	3	4	13	10-13	12	2	4	13	>=10	7	1	0	8	>=8	5	1	4	9	>=7	3	1	0	7	5-7
17ia86054	1	0	10	7	5	7	<10	7	6	5	6	<=6	5	3	0	5	5-7	2	3	5	2	<4	3	1	0	7	5-7
17ia87858	1	0	2	19	1	0	<10	0	17	1	0	<=6	0	7	1	0	<=4	0	10	0	0	<4	2	2	0	3	<=4
17ia54806	1	1	19	1	2	17	>=14	15	1	2	16	>=10	8	0	0	10	>=8	7	1	2	13	>=7	4	0	0	10	>=8
17ia56612	1	0	9	7	6	6	<10	6	6	6	4	<=6	4	3	1	4	<=4	2	3	5	2	<4	3	1	0	7	5-7
17ia77684	1	0	7	12	3	3	<10	5	10	3	2	<=6	4	4	0	3	<=4	1	6	3	0	<4	2	2	0	3	<=4
17ia69107	1	0	7	10	5	3	<10	6	7	5	4	<=6	3	4	1	2	<=4	3	3	4	4	4-6	1	3	0	0	<=4
17ia33865	1	0	12	7	3	9	<10	9	6	3	8	7-9	3	4	1	2	<=4	6	2	2	11	>=7	3	1	0	7	5-7
17ia80788	1	0	5	12	5	1	<10	2	11	5	0	<=6	1	6	1	0	<=4	1	5	4	0	<4	3	1	0	7	5-7
17ia15120	1	0	5	6	11	3	<10	3	4	11	2	<=6	2	3	3	1	<=4	1	1	8	1	<4	2	2	0	3	<=4
17ia80603	1	0	9	7	6	6	<10	8	4	6	7	7-9	5	0	3	6	5-7	3	4	3	3	<4	1	3	0	0	<=4
17ia69665	1	1	17	2	3	15	>=14	13	2	3	14	>=10	8	0	0	10	>=8	5	2	3	9	>=7	4	0	0	10	>=8
17ia20927	1	1	14	0	8	13	10-13	11	0	7	12	>=10	8	0	0	10	>=8	3	0	7	6	4-6	3	0	1	8	>=8
17ia62190	1	0	11	5	6	8	<10	8	4	6	7	7-9	4	3	1	4	<=4	4	1	5	7	>=7	3	1	0	7	5-7
17ia87713	1	0	7	12	3	3	<10	6	10	2	3	<=6	1	6	1	0	<=4	5	4	1	7	>=7	1	2	1	1	<=4
17ia57326	1	1	15	5	2	12	10-13	12	4	2	12	>=10	6	2	0	7	5-7	6	2	2	11	>=7	3	1	0	7	5-7
17ia15709	1	1	16	2	4	14	>=14	12	2	4	13	>=10	6	1	1	7	5-7	6	1	3	11	>=7	4	0	0	10	>=8
17ia26360	1	1	17	2	3	15	>=14	14	1	3	15	>=10	8	0	0	10	>=8	6	1	3	11	>=7	3	1	0	7	5-7
17ia89843	1	1	16	3	3	14	>=14	12	3	3	12	>=10	6	1	1	7	5-7	6	2	2	11	>=7	4	0	0	10	>=8
17ia44050	1	1	14	4	4	12	10-13	10	4	4	10	>=10	5	2	1	5	5-7	5	2	3	9	>=7	4	0	0	10	>=8
17ia81699	1	1	14	5	3	11	10-13	11	4	3	11	>=10	5	2	1	5	5-7	6	2	2	11	>=7	3	1	0	7	5-7
17ia89801	1	1	14	1	7	12	10-13	11	1	6	12	>=10	7	1	0	8	>=8	4	0	6	8	>=7	3	0	1	8	>=8
17ia90588	1	0	7	14	1	2	<10	7	10	1	4	<=6	2	6	0	0	<=4	5	4	1	7	>=7	0	4	0	0	<=4
17ia49958	1	0	4	11	7	0	<10	3	8	7	0	<=6	2	4	2	1	<=4	1	4	5	0	<4	1	3	0	0	<=4
17ia47568	1	0	5	14	3	0	<10	3	12	3	0	<=6	1	7	0	0	<=4	2	5	3	1	<4	2	2	0	3	<=4
17ia58154	1	1	17	5	0	14	>=14	14	4	0	14	>=10	6	2	0	7	5-7	8	2	0	15	>=7	3	1	0	7	5-7
17ia52163	1	0	9	7	6	6	<10	7	6	5	6	<=6	3	3	2	3	<=4	4	3	3	6	4-6	2	1	1	4	<=4
17ia68130	1	0	8	6	8	5	<10	6	5	7	5	<=6	2	5	1	0	<=4	4	0	6	8	>=7	2	1	1	4	<=4
17ia73921	1	1	16	1	5	14	>=14	12	1	5	13	>=10	7	1	0	8	>=8	5	0	5	10	>=7	4	0	0	10	>=8
17ia31836	1	0	11	11	0	7	<10	8	10	0	5	<=6	5	3	0	5	5-7	3	7	0	1	<4	3	1	0	7	5-7
17ia78849	1	0	9	5	8	7	<10	6	4	8	5	<=6	3	3	2	3	<=4	3	1	6	5	4-6	3	1	0	7	5-7
17ia91292	1	0	5	12	5	1	<10	5	8	5	3	<=6	3	4	1	2	<=4	2	4	4	1	<4	0	4	0	0	<=4
17ia10150	1	1	17	2	3	15	>=14	14	1	3	15	>=10	8	0	0	10	>=8	6	1	3	11	>=7	3	1	0	7	5-7
17ia55275	1	1	14	4	4	12	10-13	10	4	4	10	>=10	5	2	1	5	5-7	5	2	3	9	>=7	4	0	0	10	>=8
17ia44833	1	0	11	8	3	8	<10	9	7	2	7	7-9	5	1	2	6	5-7	4	6	0	4	4-6	2	1	1	4	<=4
17ia33234	1	1	15	6	1	12	10-13	12	5	1	11	>=10	5	3	0	5	5-7	7	2	1	13	>=7	3	1	0	7	5-7
17ia46740	1	1	20	0	2	18	>=14	17	0	1	19	>=10	8	0	0	10	>=8	9	0	1	18	>=7	3	0	1	8	>=8
17ia78506	1	1	15	2	5	13	10-13	12	1	5	13	>=10	7	1	0	8	>=8	5	0	5	10	>=7	3	1	0	7	5-7
17ia47260	1	0	11	6	5	8	<10	8	5	5	7	7-9	4	3	1	4	<=4	4	2	4	7	>=7	3	1	0	7	5-7
17ia55487	1	0	10	2	10	8	<10	6	2	10	6	<=6	4	2	2	4	<=4	2	0	8	4	4-6	4	0	0	10	>=8
17ia33463	1	1	14	2	6	12	10-13	11	2	5	11	>=10	7	1	0	8	>=8	4	1	5	7	>=7	3	0	1	8	>=8
17ia47229	1	1	17	2	3	15	>=14	14	1	3	15	>=10	7	1	0	8	>=8	7	0	3	14	>=7	3	1	0	7	5-7
17ia51650	1	1	19	2	1	17	>=14	15	2	1	16	>=10	7	1	0	8	>=8	8	1	1	15	>=7	4	0	0	10	>=8
17ia32240	1	0	13	5	4	10	10-13	9	5	4	8	7-9	5	2	1	5	5-7	4	3	3	6	4-6	4	0	0	10	>=8
17ia59839	1	1	14	2	6	12	10-13	10	2	6	10	>=10	6	1	1	7	5-7	4	1	5	7	>=7	4	0	0	10	>=8
17ia32399	1	1	19	1	2	17	>=14	15	1	2	16	>=10	7	1	0	8	>=8	8	0	2	16	>=7	4	0	0	10	>=8
17ia60899	1	1	15	4	3	12	10-13	12	3	3	12	>=10	5	2	1	5	5-7	7	1	2	13	>=7	3	1	0	7	5-7
17ia32011	1	0	6	16	0	1	<10	4	14	0	0	<=6	2	6	0	0	<=4	2	8	0	0	<4	2	2	0	3	<=4
17ia97705	1	0	13	2	7	11	10-13	9	2	7	9	7-9	5	2	1	5	5-7	4	0	6	8	>=7	4	0	0	10	>=8
17ia22097	1	1	15	4	3	12	10-13	11	4	3	11	>=10	6	2	0	7	5-7	5	2	3	9	>=7	4	0	0	10	>=8
17ia28243	1	0	7	13	2	2	<10	6	10	2	3	<=6	5	2	1	5	5-7	1	8	1	0	<4	1	3	0	0	<=4
17ia88175	1	0	13	2	7	11	10-13	9	2	7	9	7-9	3	2	3	3	<=4	6	0	4	12	>=7	4	0	0	10	>=8
17ia30511	1	1	15	4	3	12	10-13	13	2	3	14	>=10	8	0	0	10	>=8	5	2	3	9	>=7	2	2	0	3	<=4
17ia76596	1	1	17	2	3	15	>=14	13	2	3	14	>=10	8	0	0	10	>=8	5	2	3	9	>=7	4	0	0	10	>=8
17ia51564	1	0	9	8	5	6	<10	6	7	5	4	<=6	5	3	0	5	5-7	1	4	5	0	<4	3	1	0	7	5-7
17ia89459	1	0	11	6	5	8	<10	9	4	5	9	7-9	5	3	0	5	5-7	4	1	5	7	>=7	2	2	0	3	<=4
17ia43124	1	1	20	2	0	18	>=14	17	1	0	19	>=10	8	0	0	10	>=8	9	1	0	17	>=7	3	1	0	7	5-7
17ia69223	1	0	8	9	5	5	<10	6	7	5	4	<=6	3	5	0	2	<=4	3	2	5	5	4-6	2	2	0	3	<=4
17ia82245	1	1	18	1	3	16	>=14	14	1	3	15	>=10	7	1	0	8	>=8	7	0	3	14	>=7	4	0	0	10	>=8
17ia80033	1	1	11	1	10	10	10-13	10	0	8	11	>=10	6	0	2	8	>=8	4	0	6	8	>=7	1	1	2	2	<=4
17ia84936	1	0	12	4	6	10	10-13	9	4	5	9	7-9	4	2	2	4	<=4	5	2	3	9	>=7	3	0	1	8	>=8
17ia32814	1	0	5	3	14	4	<10	3	2	13	3	<=6	2	0	6	3	<=4	1	2	7	1	<4	2	1	1	4	<=4
17ia41397	1	0	8	9	5	5	<10	7	6	5	6	<=6	5	3	0	5	5-7	2	3	5	2	<4	1	3	0	0	<=4
17ia80377	1	1	13	4	5	11	10-13	10	3	5	10	>=10	5	3	0	5	5-7	5	0	5	10	>=7	3	1	0	7	5-7
17ia16166	1	1	13	5	4	10	10-13	10	4	4	10	>=10	5	3	0	5	5-7	5	1	4	9	>=7	3	1	0	7	5-7
17ia19611	1	0	8	7	7	5	<10	5	6	7	3	<=6	4	2	2	4	<=4	1	4	5	0	<4	3	1	0	7	5-7
17ia50118	1	0	10	8	4	7	<10	6	8	4	4	<=6	1	6	1	0	<=4	5	2	3	9	>=7	4	0	0	10	>=8
17ia39859	1	0	13	8	1	9	<10	10	7	1	9	7-9	5	3	0	5	5-7	5	4	1	7	>=7	3	1	0	7	5-7
17ia33584	1	1	13	3	6	11	10-13	10	2	6	10	>=10	6	2	0	7	5-7	4	0	6	8	>=7	3	1	0	7	5-7
17ia78039	1	1	18	1	3	16	>=14	14	1	3	15	>=10	7	0	1	9	>=8	7	1	2	13	>=7	4	0	0	10	>=8
17ia24205	1	0	12	4	6	10	10-13	9	3	6	9	7-9	6	2	0	7	5-7	3	1	6	5	4-6	3	1	0	7	5-7
17ia28114	1	0	10	4	8	8	<10	9	1	8	10	>=10	7	0	1	9	>=8	2	1	7	3	<4	1	3	0	0	<=4
17ia82063	1	0	9	8	5	6	<10	6	7	5	4	<=6	2	4	2	1	<=4	4	3	3	6	4-6	3	1	0	7	5-7
17ia70795	1	0	5	10	7	2	<10	2	9	7	0	<=6	1	5	2	0	<=4	1	4	5	0	<4	3	1	0	7	5-7
17ia20843	1	0	8	10	4	4	<10	7	7	4	5	<=6	5	3	0	5	5-7	2	4	4	1	<4	1	3	0	0	<=4
17ia92144	1	0	3	10	9	0	<10	0	10	8	0	<=6	0	6	2	0	<=4	0	4	6	0	<4	3	0	1	8	>=8
17ia72859	1	0	9	7	6	6	<10	6	6	6	4	<=6	5	3	0	5	5-7	1	3	6	0	<4	3	1	0	7	5-7
17ia69407	1	1	14	8	0	10	10-13	13	5	0	13	>=10	6	2	0	7	5-7	7	3	0	12	>=7	1	3	0	0	<=4
17ia97650	1	1	14	2	6	12	10-13	10	2	6	10	>=10	4	2	2	4	<=4	6	0	4	12	>=7	4	0	0	10	>=8
17ia63175	1	0	9	13	0	4	<10	8	10	0	5	<=6	2	6	0	0	<=4	6	4	0	9	>=7	1	3	0	0	<=4
17ia83104	1	1	15	5	2	12	10-13	11	5	2	10	>=10	4	4	0	3	<=4	7	1	2	13	>=7	4	0	0	10	>=8
17ia45279	1	0	4	11	7	0	<10	3	8	7	0	<=6	2	4	2	1	<=4	1	4	5	0	<4	1	3	0	0	<=4
17ia34943	1	0	7	1	14	6	<10	3	1	14	3	<=6	3	1	4	3	<=4	0	0	10	0	<4	4	0	0	10	>=8
17ia65532	1	0	5	14	3	0	<10	4	11	3	0	<=6	2	6	0	0	<=4	2	5	3	1	<4	1	3	0	0	<=4
17ia42836	1	0	7	5	10	5	<10	5	4	9	4	<=6	3	1	4	3	<=4	2	3	5	2	<4	2	1	1	4	<=4
17ia43098	1	0	6	6	10	4	<10	3	6	9	1	<=6	2	3	3	1	<=4	1	3	6	0	<4	3	0	1	8	>=8
17ia96548	1	0	8	2	12	7	<10	4	2	12	4	<=6	3	0	5	4	<=4	1	2	7	1	<4	4	0	0	10	>=8
17ia62638	1	0	10	9	3	6	<10	8	7	3	6	<=6	4	3	1	4	<=4	4	4	2	5	4-6	2	2	0	3	<=4
17ia12143	1	0	12	4	6	10	10-13	9	3	6	9	7-9	5	1	2	6	5-7	4	2	4	7	>=7	3	1	0	7	5-7
17ia71608	1	0	9	3	10	7	<10	6	3	9	6	<=6	5	1	2	6	5-7	1	2	7	1	<4	3	0	1	8	>=8
17ia86131	1	0	3	5	14	1	<10	1	4	13	0	<=6	0	4	4	0	<=4	1	0	9	2	<4	2	1	1	4	<=4
17ia85110	1	0	7	3	12	5	<10	3	3	12	2	<=6	2	1	5	2	<=4	1	2	7	1	<4	4	0	0	10	>=8
17ia56875	1	1	16	2	4	14	>=14	12	2	4	13	>=10	7	1	0	8	>=8	5	1	4	9	>=7	4	0	0	10	>=8
17ia13029	1	1	16	1	5	14	>=14	13	1	4	14	>=10	7	1	0	8	>=8	6	0	4	12	>=7	3	0	1	8	>=8
17ia51478	1	1	18	3	1	15	>=14	14	3	1	14	>=10	6	2	0	7	5-7	8	1	1	15	>=7	4	0	0	10	>=8
17ia70434	1	0	2	3	17	1	<10	1	1	16	1	<=6	1	1	6	1	<=4	0	0	10	0	<4	1	2	1	1	<=4
17ia63559	1	0	4	0	18	4	<10	0	0	18	0	<=6	0	0	8	0	<=4	0	0	10	0	<4	4	0	0	10	>=8
17ia39749	1	0	7	5	10	5	<10	4	4	10	3	<=6	2	3	3	1	<=4	2	1	7	3	<4	3	1	0	7	5-7
17ia46568	1	0	11	11	0	7	<10	10	8	0	8	7-9	5	3	0	5	5-7	5	5	0	7	>=7	1	3	0	0	<=4
17ia51997	1	0	11	3	8	9	<10	8	3	7	8	7-9	5	2	1	5	5-7	3	1	6	5	4-6	3	0	1	8	>=8
17ia47634	1	0	6	8	8	3	<10	3	7	8	1	<=6	2	4	2	1	<=4	1	3	6	0	<4	3	1	0	7	5-7
17ia61000	1	1	18	0	4	16	>=14	14	0	4	16	>=10	8	0	0	10	>=8	6	0	4	12	>=7	4	0	0	10	>=8
17ia87801	1	1	12	2	8	10	10-13	9	1	8	10	>=10	6	0	2	8	>=8	3	1	6	5	4-6	3	1	0	7	5-7
17ia68873	1	1	16	1	5	14	>=14	14	0	4	16	>=10	8	0	0	10	>=8	6	0	4	12	>=7	2	1	1	4	<=4
17ia24447	1	1	20	1	1	18	>=14	16	1	1	17	>=10	7	1	0	8	>=8	9	0	1	18	>=7	4	0	0	10	>=8
17ia66882	1	0	3	16	3	0	<10	1	14	3	0	<=6	0	7	1	0	<=4	1	7	2	0	<4	2	2	0	3	<=4
17ia11494	1	1	16	1	5	14	>=14	14	0	4	16	>=10	8	0	0	10	>=8	6	0	4	12	>=7	2	1	1	4	<=4
17ia97452	1	0	13	6	3	10	10-13	9	6	3	8	7-9	6	2	0	7	5-7	3	4	3	3	<4	4	0	0	10	>=8
17ia92279	1	0	9	7	6	6	<10	5	7	6	3	<=6	4	3	1	4	<=4	1	4	5	0	<4	4	0	0	10	>=8
17ia17133	1	1	16	3	3	14	>=14	12	3	3	12	>=10	7	1	0	8	>=8	5	2	3	9	>=7	4	0	0	10	>=8
17ia27375	1	0	11	6	5	8	<10	8	5	5	7	7-9	5	3	0	5	5-7	3	2	5	5	4-6	3	1	0	7	5-7
17ia37797	1	0	7	7	8	4	<10	5	5	8	4	<=6	2	4	2	1	<=4	3	1	6	5	4-6	2	2	0	3	<=4
17ia42145	1	0	11	4	7	9	<10	11	2	5	11	>=10	6	1	1	7	5-7	5	1	4	9	>=7	0	2	2	0	<=4
17ia82192	1	0	10	6	6	7	<10	9	3	6	9	7-9	5	2	1	5	5-7	4	1	5	7	>=7	1	3	0	0	<=4
17ia82935	1	1	15	5	2	12	10-13	11	5	2	10	>=10	6	2	0	7	5-7	5	3	2	8	>=7	4	0	0	10	>=8
17ia92122	1	1	13	4	5	11	10-13	10	3	5	10	>=10	6	2	0	7	5-7	4	1	5	7	>=7	3	1	0	7	5-7
17ia20669	1	1	16	3	3	14	>=14	12	3	3	12	>=10	7	0	1	9	>=8	5	3	2	8	>=7	4	0	0	10	>=8
17ia37360	1	1	19	0	3	17	>=14	15	0	3	17	>=10	8	0	0	10	>=8	7	0	3	14	>=7	4	0	0	10	>=8
17ia70879	1	1	14	1	7	12	10-13	10	1	7	11	>=10	7	0	1	9	>=8	3	1	6	5	4-6	4	0	0	10	>=8
17ia62356	1	0	10	5	7	8	<10	9	3	6	9	7-9	5	2	1	5	5-7	4	1	5	7	>=7	1	2	1	1	<=4
17ia10355	1	1	14	0	8	13	10-13	12	0	6	13	>=10	7	0	1	9	>=8	5	0	5	10	>=7	2	0	2	5	5-7
17ia49859	1	0	14	7	1	11	10-13	10	7	1	9	7-9	5	3	0	5	5-7	5	4	1	7	>=7	4	0	0	10	>=8
17ia72541	1	1	14	1	7	12	10-13	10	1	7	11	>=10	7	1	0	8	>=8	3	0	7	6	4-6	4	0	0	10	>=8
17ia42085	1	1	13	2	7	11	10-13	10	1	7	11	>=10	5	1	2	6	5-7	5	0	5	10	>=7	3	1	0	7	5-7
17ia26046	1	1	13	4	5	11	10-13	10	3	5	10	>=10	5	3	0	5	5-7	5	0	5	10	>=7	3	1	0	7	5-7
17ia35580	1	1	14	2	6	12	10-13	10	2	6	10	>=10	5	2	1	5	5-7	5	0	5	10	>=7	4	0	0	10	>=8
17ia73210	1	1	14	2	6	12	10-13	10	2	6	10	>=10	5	2	1	5	5-7	5	0	5	10	>=7	4	0	0	10	>=8
17ia81181	1	1	14	0	8	13	10-13	10	0	8	11	>=10	5	0	3	6	5-7	5	0	5	10	>=7	4	0	0	10	>=8
17ia17957	1	1	15	3	4	13	10-13	11	3	4	11	>=10	6	2	0	7	5-7	5	1	4	9	>=7	4	0	0	10	>=8
17ia61053	1	1	14	2	6	12	10-13	11	2	5	11	>=10	6	1	1	7	5-7	5	1	4	9	>=7	3	0	1	8	>=8
17ia51551	1	1	19	0	3	17	>=14	15	0	3	17	>=10	8	0	0	10	>=8	7	0	3	14	>=7	4	0	0	10	>=8
17ia78677	1	0	13	4	5	11	10-13	9	4	5	9	7-9	3	4	1	2	<=4	6	0	4	12	>=7	4	0	0	10	>=8
17ia66832	1	1	15	3	4	13	10-13	12	2	4	13	>=10	7	1	0	8	>=8	5	1	4	9	>=7	3	1	0	7	5-7
17ia30964	1	0	12	4	6	10	10-13	8	4	6	7	7-9	4	3	1	4	<=4	4	1	5	7	>=7	4	0	0	10	>=8
17ia82626	1	0	8	6	8	5	<10	7	4	7	6	<=6	5	2	1	5	5-7	2	2	6	3	<4	1	2	1	1	<=4
17ia57223	1	1	19	2	1	17	>=14	15	2	1	16	>=10	6	2	0	7	5-7	9	0	1	18	>=7	4	0	0	10	>=8
17ia21100	1	1	12	2	8	10	10-13	10	1	7	11	>=10	6	1	1	7	5-7	4	0	6	8	>=7	2	1	1	4	<=4
17ia47930	1	1	16	0	6	15	>=14	12	0	6	13	>=10	6	0	2	8	>=8	6	0	4	12	>=7	4	0	0	10	>=8
17ia37658	1	1	14	4	4	12	10-13	11	3	4	11	>=10	7	1	0	8	>=8	4	2	4	7	>=7	3	1	0	7	5-7
17ia87084	1	0	12	5	5	9	<10	11	2	5	11	>=10	5	2	1	5	5-7	6	0	4	12	>=7	1	3	0	0	<=4
17ia58001	1	1	13	4	5	11	10-13	11	3	4	11	>=10	6	1	1	7	5-7	5	2	3	9	>=7	2	1	1	4	<=4
17ia72618	1	0	11	3	8	9	<10	7	3	8	7	7-9	3	2	3	3	<=4	4	1	5	7	>=7	4	0	0	10	>=8
17ia12394	1	1	16	1	5	14	>=14	14	1	3	15	>=10	7	0	1	9	>=8	7	1	2	13	>=7	2	0	2	5	5-7
17ia24957	1	1	19	0	3	17	>=14	15	0	3	17	>=10	8	0	0	10	>=8	7	0	3	14	>=7	4	0	0	10	>=8
